title,creator,date,location,latitude,longitude,format,subject,type,parentid,objectid,pages,filename
Letter 1,Mason Abercrombie Shufeldt,1882-12-27,"Lynnehaven Bay, Cape Henry, Virginia, USA",36.9315,-76.0199,image/jpeg,,Image,,1,,001.jpg
Letter 1 (continued),Mason Abercrombie Shufeldt,1882-12-27,"Lynnehaven Bay, Cape Henry, Virginia, USA",36.9315,-76.0199,image/jpeg,,Image,,2,,002.jpg
Letter 2,Mason Abercrombie Shufeldt,1882-12-28,Atlantic Ocean,35.34313,-73.43227,image/jpeg,,Image,,3,,003.jpg
Letter 3,Mason Abercrombie Shufeldt,1882-12-29,Atlantic Ocean,37.179198,-73.376687,image/jpeg,,Image,,4,,004.jpg
Letter 3 & 4,Mason Abercrombie Shufeldt,1882-12-29,Atlantic Ocean,37.33344,-73.376687,image/jpeg,,Image,,5,,005.jpg
Letter 4,Mason Abercrombie Shufeldt,1882-12-30,Atlantic Ocean,37.289403,-71.43882,image/jpeg,,Image,,6,,006.jpg
Letter 4 & 5,Mason Abercrombie Shufeldt,1882-12-31,Atlantic Ocean,37.289403,-71.43882,image/jpeg,,Image,,7,,007.jpg
Letter 6,Mason Abercrombie Shufeldt,1883-1-1,Atlantic Ocean,37.112998,-69.500954,image/jpeg,,Image,,8,,008.jpg
Letter 7,Mason Abercrombie Shufeldt,1883-1-2,Atlantic Ocean,36.847619,-66.677205,image/jpeg,,Image,,9,,009.jpg
Letter 8,Mason Abercrombie Shufeldt,1883-1-3,Atlantic Ocean,36.581315,-63.798089,image/jpeg,,Image,,10,,010.jpg
Letter 9,Mason Abercrombie Shufeldt,1883-1-4,Atlantic Ocean,36.180132,-60.586767,image/jpeg,,Image,,11,,011.jpg
Letter 9 (continued),Mason Abercrombie Shufeldt,1883-1-4,Atlantic Ocean,36.180132,-60.586767,image/jpeg,,Image,,12,,012.jpg
Madagascar Isle,Mason Abercrombie Shufeldt,1883-1-4,Atlantic Ocean,35.054929,-53.112138,image/jpeg,,Image,,13,,013.jpg
Letter 10,Mason Abercrombie Shufeldt,1883-1-5,Atlantic Ocean,33.776049,-51.118904,image/jpeg,,Image,,14,,014.jpg
Letter 10 (continued),Mason Abercrombie Shufeldt,1883-1-5,Atlantic Ocean,33.776049,-51.118904,image/jpeg,,Image,,15,,015.jpg
Letter 11,Mason Abercrombie Shufeldt,1883-1-6,Atlantic Ocean,32.197104,-47.077068,image/jpeg,,Image,,16,,016.jpg
Letter 11 (continued),Mason Abercrombie Shufeldt,1883-1-6,Atlantic Ocean,32.197104,-47.077068,image/jpeg,,Image,,17,,017.jpg
Letter 12,Mason Abercrombie Shufeldt,1883-1-7,Atlantic Ocean,31.491603,-45.028466,image/jpeg,,Image,,18,,018.jpg
Letter 13,Mason Abercrombie Shufeldt,1883-1-8,Atlantic Ocean,30.78074,-42.536923,image/jpeg,,Image,,19,,019.jpg
Letter 13 (continued),Mason Abercrombie Shufeldt,1883-1-8,Atlantic Ocean,30.78074,-42.536923,image/jpeg,,Image,,20,,020.jpg
Letter 13 (continued),Mason Abercrombie Shufeldt,1883-1-8,Atlantic Ocean,30.78074,-42.536923,image/jpeg,,Image,,21,,021.jpg
Letter 14,Mason Abercrombie Shufeldt,1883-1-9,Atlantic Ocean,26.685792,-40.594656,image/jpeg,,Image,,22,,022.jpg
Letter 15,Mason Abercrombie Shufeldt,1883-1-10,Atlantic Ocean,26.685792,-40.594656,image/jpeg,,Image,,23,,023.jpg
Letter 16,Mason Abercrombie Shufeldt,1883-1-11,Atlantic Ocean,23.983859,-36.386717,image/jpeg,,Image,,24,,024.jpg
Letter 17,Mason Abercrombie Shufeldt,1883-1-12,Atlantic Ocean,25.279241,-33.192424,image/jpeg,,Image,,25,,025.jpg
Letter 18,Mason Abercrombie Shufeldt,1883-1-13,Atlantic Ocean,24.403256,-34.385527,image/jpeg,,Image,,26,,026.jpg
Letter 19 & 20,Mason Abercrombie Shufeldt,1883-1-14,Atlantic Ocean,25.279241,-33.192424,image/jpeg,,Image,,27,,027.jpg
Letter 21 & 22,Mason Abercrombie Shufeldt,1883-1-16,Atlantic Ocean,,,image/jpeg,,Image,,28,,028.jpg
